code	name_ar	name_fr	name_en	wilaya_code
3911	الدبيلة	DEBILA	DEBILA	39
1920	العلمة	EL EULMA	EL EULMA	19
4626	سيدي ورياش	SIDI OURIACHE	SIDI OURIACHE	46
3412	بليمور	BELIMOUR	BELIMOUR	34
1312	عين فزة	AIN FEZZA	AIN FEZZA	13
1415	مهدية	MAHDIA	MAHDIA	14
2654	ذراع السمار	DRAA ESMAR	DRAA ESMAR	26
2126	تمالوس	TAMALOUS	TAMALOUS	21
1617	حسين داي	HUSSEIN DEY	HUSSEIN DEY	16
1503	اقبيل	AKBIL	AKBIL	15
4408	العامرة	EL-AMRA	EL-AMRA	44
3008	النزلة	NEZLA	NEZLA	30
3125	عين الكرمة	AIN KERMA	AIN KERMA	31
1824	تاكسنة	TEXENNA	TEXENNA	18
2606	أولاد دايد	OULED DEID	OULED DEID	26
2407	عين صندل	AIN SANDEL	AIN SANDEL	24
4207	أغبال	AGHBAL	AGHBAL	42
907	العفرون	EL-AFFROUN	EL-AFFROUN	9
1518	عزازقة	AZAZGA	AZAZGA	15
3501	بومرداس	BOUMERDES	BOUMERDES	35
208	الصبحة	SOBHA	SOBHA	2
2004	أولاد خالد	OULED KHALED	OULED KHALED	20
3212	الكاف الأحمر	KEF EL AHMAR	KEF EL AHMAR	32
3621	عين الكرمة	AIN KERMA	AIN KERMA	36
3532	الخروبة	EL KHARROUBA	EL KHARROUBA	35
2724	السوافلية	SOUAFLIA	SOUAFLIA	27
2120	مجاز الدشيش	EMJEZ EDCHICH	EMJEZ EDCHICH	21
212	بوقادير	BOUKADIR	BOUKADIR	2
2810	أولاد ماضي	OULED MADHI	OULED MADHI	28
4017	المحمل	EL MAHMAL	EL MAHMAL	40
1813	سيدي عبد العزيز	SIDI ABDELAZIZ	SIDI ABDELAZIZ	18
1718	قطارة	GUETTARA	GUETTARA	17
2423	عين العربي	AIN LARBI	AIN LARBI	24
1566	أسي يوسف	ASSI-YOUCEF	ASSI-YOUCEF	15
1902	عين الكبيرة	AIN EL KEBIRA	AIN EL KEBIRA	19
2717	عشعاشة	ACHAACHA	ACHAACHA	27
527	لمسان	LEMCENE	LEMCENE	5
1009	تاغزوت	TAGHZOUT	TAGHZOUT	10
1623	دالي ابراهيم	DELY IBRAHIM	DELY IBRAHIM	16
4302	فرجيوة	FERDJIOUA	FERDJIOUA	43
4623	بني صاف	BENI SAF	BENI SAF	46
3416	الماين	EL MAIN	EL MAIN	34
4506	مغرار	MOGHRAR	MOGHRAR	45
4304	وادي العثمانية	OUED ATHMENIA	OUED ATHMENIA	43
3505	بغلية	BAGHLIA	BAGHLIA	35
1621	باب الزوار	BAB EZZOUAR	BAB EZZOUAR	16
3422	القصور	KSOUR	KSOUR	34
3419	حسناوة	HASNAOUA	HASNAOUA	34
4435	تبركانين	TIBERKANINE	TIBERKANINE	44
1110	فقارة الزوى	FOGGARET EZZOUA	FOGGARET EZZOUA	11
4426	عين البنيان	AIN-BENIAN	AIN-BENIAN	44
601	بجاية	BEJAIA	BEJAIA	6
3522	بن شود	BEN CHOUD	BEN CHOUD	35
306	حاسي الرمل	HASSI R'MEL	HASSI R'MEL	3
2623	تفراوت	TAFRAOUT	TAFRAOUT	26
2714	حجاج	HADJADJ	HADJADJ	27
4606	وادي برقش	OUED BERKECHE	OUED BERKECHE	46
2239	السهالة الثورة	SEHALA THAOURA	SEHALA THAOURA	22
512	عيون العصافير	OUYOUN EL ASSAFIR	OUYOUN EL ASSAFIR	5
1704	حاسي بحبح	HASSI BAHBAH	HASSI BAHBAH	17
1319	دار يغمراسن	DAR YAGHMORACEN	DAR YAGHMORACEN	13
2834	محمد بوضياف	MOHAMED BOUDIAF	MOHAMED BOUDIAF	28
4416	الروينة	ROUINA	ROUINA	44
3404	المنصورة	MANSOURA	MANSOURA	34
4222	مسلمون	MESSELMOUN	MESSELMOUN	42
1716	حاسي العش	HASSI EL EUCH	HASSI EL EUCH	17
2217	تنيرة	TENIRA	TENIRA	22
1515	بني عيسي	BENI-AISSI	BENI-AISSI	15
1643	المرسى	EL MARSA	EL MARSA	16
2243	وادي سفيون	OUED SEFIOUN	OUED SEFIOUN	22
3005	الرويسات	ROUISSAT	ROUISSAT	30
508	تازولت	TAZOULT	TAZOULT	5
1539	أيت عيسى ميمون	AIT-AISSA-MIMOUN	AIT-AISSA-MIMOUN	15
3914	الطالب العربي	TALEB LARBI	TALEB LARBI	39
801	بشار	BECHAR	BECHAR	8
1421	مغيلة	MEGHILA	MEGHILA	14
2840	السوامع	SOUAMAA	SOUAMAA	28
2245	بن باديس	BEN BADIS	BEN BADIS	22
3624	رمل السوق	RAML SOUK	RAML SOUK	36
4825	يلل	YELLEL	YELLEL	48
4331	يحي بني قشة	YAHIA BENIGUECHA	YAHIA BENIGUECHA	43
3019	المقارين	MEGARINE	MEGARINE	30
2814	أولاد عدي لقبالة	OULED ADDI GUEBALA	OULED ADDI GUEBALA	28
515	عزيل عبد القادر	AZIL ABEDELKADER	AZIL ABEDELKADER	5
2927	عقاز	OGGAZ	OGGAZ	29
1527	أيت يحيى	AIT-YAHIA	AIT-YAHIA	15
630	سوق اوفلا	SOUK OUFELLA	SOUK OUFELLA	6
2836	بئر فضة	BIR FODA	BIR FODA	28
1547	ذراع بن خدة	DRAA-BEN-KHEDDA	DRAA-BEN-KHEDDA	15
922	بوقرة	BOUGARA	BOUGARA	9
3004	حاسي مسعود	HASSI MESSAOUD	HASSI MESSAOUD	30
1562	ميزرانـــة	MIZRANA	MIZRANA	15
1033	بشلول	BECHLOUL	BECHLOUL	10
416	فكيرينة	FKIRINA	FKIRINA	4
4410	العطاف	EL-ATTAF	EL-ATTAF	44
412	عين كرشة	AIN KERCHA	AIN KERCHA	4
3108	مرسى الحجاج	MARSAT EL HADJADJ	MARSAT EL HADJADJ	31
3201	البيض	EL BAYADH	EL BAYADH	32
1005	قادرية	KADIRIA	KADIRIA	10
1311	وادي الخضر	OUED LAKHDAR	OUED LAKHDAR	13
2405	تاملوكة	TAMLOUKA	TAMLOUKA	24
2310	شطايبي	CHETAIBI	CHETAIBI	23
1103	إينغر	INGHAR	INGHAR	11
3306	إن أمناس	IN AMENAS	IN AMENAS	33
1926	عين أرنات	AIN ARNAT	AIN ARNAT	19
311	عين سيدي علي	AIN SIDI ALI	AIN SIDI ALI	3
619	توجة	TOUDJA	TOUDJA	6
3421	تقلعيت	TAGLAIT	TAGLAIT	34
3517	أولاد موسى	OULED MOUSSA	OULED MOUSSA	35
3305	برج الحواس	BORDJ EL HAOUASS	BORDJ EL HAOUASS	33
1611	بوزريعة	BOUZAREAH	BOUZAREAH	16
1954	ايت تيزي	AIT-TIZI	AIT-TIZI	19
3415	جعافرة	DJAAFRA	DJAAFRA	34
2433	وادي الشحم	OUED CHEHAM	OUED CHEHAM	24
4010	الرميلة	REMILA	REMILA	40
2112	الكركرة	KERKARA	KERKARA	21
4428	بربوش	BIRBOUCHE	BIRBOUCHE	44
2228	عين البرد	AIN EL BERD	AIN EL BERD	22
2240	سيدي يعقوب	SIDI YACOUB	SIDI YACOUB	22
1730	عين الإبل	AIN EL IBEL	AIN EL IBEL	17
1018	برج أوخريص	BORDJ OKHRISS	BORDJ OKHRISS	10
2718	خضرة	KHADRA	KHADRA	27
3917	الطريفاوي	TRIFAOUI	TRIFAOUI	39
233	أم الدروع	OUM DROU	OUM DROU	2
3918	المقرن	MAGRANE	MAGRANE	39
720	جمورة	DJEMORAH	DJEMORAH	7
2847	جبل مساعد	DJEBEL MESSAAD	DJEBEL MESSAAD	28
2619	بوسكن	BOUSKENE	BOUSKENE	26
3420	خليل	KHELIL	KHELIL	34
1035	عين بسام	AIN-BESSEM	AIN-BESSEM	10
518	تيلاطو	TILATOU	TILATOU	5
302	قصر الحيران	KSAR EL HIRANE	KSAR EL HIRANE	3
1302	بني مستر	BENI MESTER	BENI MESTER	13
1305	الفحول	EL FEHOUL	EL FEHOUL	13
2421	برج صباط	BORDJ SABATH	BORDJ SABATH	24
3205	الغاسول	GHASSOUL	GHASSOUL	32
1912	معاوية	MAAOUIA	MAAOUIA	19
4423	عين التركي	AIN-TORKI	AIN-TORKI	44
1422	قرطوفة	GUERTOUFA	GUERTOUFA	14
2923	عوف	AOUF	AOUF	29
2916	سيدي بوسعيد	SIDI BOUSSAID	SIDI BOUSSAID	29
2123	رمضان جمال	RAMDANE DJAMEL	RAMDANE DJAMEL	21
3302	جانت	DJANET	DJANET	33
4709	سبسب	SEBSEB	SEBSEB	47
2924	عين فارس	AIN FARES	AIN FARES	29
560	بولهيلات	BOULHILAT	BOULHILAT	5
633	تالة حمزة	TALA HAMZA	TALA HAMZA	6
213	بني راشد	BENI RACHED	BENI RACHED	2
3819	تملاحت	TAMELLAHET	TAMELLAHET	38
206	تاوقريت	TAOUGRIT	TAOUGRIT	2
223	المرسى	EL MARSA	EL MARSA	2
1625	الرايس حميدو	RAIS HAMIDOU	RAIS HAMIDOU	16
3003	انقوسة	N'GOUSSA	N'GOUSSA	30
1016	أعمر	AOMAR	AOMAR	10
2507	عين عبيد	AIN ABID	AIN ABID	25
201	الشلف	CHLEF	CHLEF	2
618	فناية الماثن	FENAIA IL MATEN	FENAIA IL MATEN	6
624	أدكار	ADEKAR	ADEKAR	6
305	حاسي الدلاعة	HASSI DELAA	HASSI DELAA	3
1034	بوكرم	BOUKRAM	BOUKRAM	10
641	مالبو	MELBOU	MELBOU	6
3524	عمال	AMMAL	AMMAL	35
1917	قجال	GUIDJEL	GUIDJEL	19
1924	أولاد عدوان	OULED ADDOUANE	OULED ADDOUANE	19
4225	الحطاطبة	ATTATBA	ATTATBA	42
408	عين ببوش	AIN BABOUCHE	AIN BABOUCHE	4
316	سبقاق	SEBGAG	SEBGAG	3
1420	النعيمة	NAIMA	NAIMA	14
2622	أولاد هلال	OULED HELLAL	OULED HELLAL	26
614	تيفرة	TIFRA	TIFRA	6
1933	مزلوق	MEZLOUG	MEZLOUG	19
625	أقبو	AKBOU	AKBOU	6
1558	أيت خليلي	AIT KHELLILI	AIT KHELLILI	15
4308	تاجنانت	TADJENANET	TADJENANET	43
2110	القل	COLLO	COLLO	21
3514	الثنية	THENIA	THENIA	35
2640	شنيقل	CHENIGUEL	CHENIGUEL	26
1731	عين وسارة	AIN OUSSERA	AIN OUSSERA	17
1310	القور	EL GOR	EL GOR	13
1341	سيدي الجيلالي	SIDI DJILLALI	SIDI DJILLALI	13
628	أيت رزين	AIT R'ZINE	AIT R'ZINE	6
714	عين الناقة	AIN NAGA	AIN NAGA	7
4332	الشيقارة	CHIGARA	CHIGARA	43
2811	مقرة	MAGRA	MAGRA	28
2225	عين قادة	AIN KADA	AIN KADA	22
1638	الرويبة	ROUIBA	ROUIBA	16
3601	الطارف	EL TARF	EL TARF	36
113	تيمقتن	TIMEKTEN	TIMEKTEN	1
1404	سيدي علي ملال	SIDI ALI MELLAL	SIDI ALI MELLAL	14
1403	عين بوشقيف	AIN BOUCHEKIF	AIN BOUCHEKIF	14
4311	أحمد راشدي	AHMED RACHEDI	AHMED RACHEDI	43
108	تسابيت	TSABIT	TSABIT	1
3620	الزيتونة	ZITOUNA	ZITOUNA	36
1408	مدريسة	MEDRISSA	MEDRISSA	14
1952	قصر الابطال	KASR EL ABTAL	KASR EL ABTAL	19
3607	العيون	EL AIOUN	EL AIOUN	36
4419	بئر ولد خليفة	BIR-OULD-KHELIFA	BIR-OULD-KHELIFA	44
3502	بودواو	BOUDOUAOU	BOUDOUAOU	35
1224	المريج	EL MERIDJ	EL MERIDJ	12
1629	المحمدية	MOHAMMADIA	MOHAMMADIA	16
320	العسافية	EL ASSAFIA	EL ASSAFIA	3
3014	الحجيرة	EL-HADJIRA	EL-HADJIRA	30
312	البيضاء	EL BEIDHA	EL BEIDHA	3
3401	برج بوعريرج	B. B. ARRERIDJ	B. B. ARRERIDJ	34
1940	عين أزال	AIN AZEL	AIN AZEL	19
3806	لرجام	LARDJEM	LARDJEM	38
903	بوعينان	BOUINAN	BOUINAN	9
2503	أبن باديس الهرية	BEN BADIS	BEN BADIS	25
4616	وادي الصباح	OUED SEBBAH	OUED SEBBAH	46
2311	سيدي عمار	SIDI AMAR	SIDI AMAR	23
3015	الطيبات	TAIBET	TAIBET	30
1509	ماكودة	MAKOUDA	MAKOUDA	15
1825	الجمعة بني حبيبي	DJEMAA BENI HABIBI	DJEMAA BENI HABIBI	18
707	بسباس	BESBES	BESBES	7
3930	سيدي عمران	SIDI AMRANE	SIDI AMRANE	39
3921	سطيل	STILL	STILL	39
3426	تيكستار	TIXTER	TIXTER	34
4117	عين الزانة	AIN ZANA	AIN ZANA	41
2425	بوشقوف	BOUCHEGOUF	BOUCHEGOUF	24
1413	دحموني	DAHMOUNI	DAHMOUNI	14
3002	عين البيضاء	AIN BEIDA	AIN BEIDA	30
2137	حمادي كرومة	HAMMADI KROUMA	HAMMADI KROUMA	21
4321	مينار زارزة	Minar Zarza	Minar Zarza	43
3425	القلة	COLLA	COLLA	34
4213	عين تاقورايت	AIN TAGOURAIT	AIN TAGOURAIT	42
2938	القطنة	EL GUEITENA	EL GUEITENA	29
4808	سيدي أمحمد بن علي	SIDI M'HAMED BENALI	SIDI M'HAMED BENALI	48
3204	بريزينة	BREZINA	BREZINA	32
2504	زيغود يوسف	ZIGHOUD YOUCEF	ZIGHOUD YOUCEF	25
2829	معاريف	MAARIF	MAARIF	28
2249	تاودموت	TAOUDMOUT	TAOUDMOUT	22
1555	بوجيمة	BOUDJIMA	BOUDJIMA	15
820	تامترت	TAMTERT	TAMTERT	8
4421	طارق بن زياد	TARIK-IBN-ZIAD	TARIK-IBN-ZIAD	44
3001	ورقلة	OUARGLA	OUARGLA	30
1543	تيرمتين	TIRMITINE	TIRMITINE	15
2424	مجاز عمار	MEDJEZ AMAR	MEDJEZ AMAR	24
406	سيقوس	SIGUS	SIGUS	4
2946	سيدي عبد الجبار	SIDI ABDELDJEBAR	SIDI ABDELDJEBAR	29
1410	مادنة	MADNA	MADNA	14
3912	حساني عبد الكريم	HASSANI ABDELKRIM	HASSANI ABDELKRIM	39
2830	دهاهنة	DEHAHNA	DEHAHNA	28
732	الحاجب	EL HADJAB	EL HADJAB	7
3612	الشافية	CHEFIA	CHEFIA	36
529	سقانة	SEGGANA	SEGGANA	5
1565	أيت بــوادو	AIT BOUADDOU	AIT BOUADDOU	15
2211	تفسور	TEFESSOUR	TEFESSOUR	22
3523	دلس	DELLYS	DELLYS	35
2628	سيدي زهار	SIDI ZAHAR	SIDI ZAHAR	26
1642	برج البحري	BORDJ EL BAHRI	BORDJ EL BAHRI	16
4810	سيدي  خطاب	SIDI KHETTAB	SIDI KHETTAB	48
642	أكفادو	AKFADOU	AKFADOU	6
716	الفيض	EL FEIDH	EL FEIDH	7
2505	ديدوش مراد	DIDOUCHE MOURAD	DIDOUCHE MOURAD	25
1958	الطاية	TAYA	TAYA	19
621	سيدي عياد	SIDI AYAD	SIDI AYAD	6
634	برباشة	BARBACHA	BARBACHA	6
4111	الخضارة	KHEDARA	KHEDARA	41
2232	الضاية	DHAYA	DHAYA	22
1006	حنيف	HANIF	HANIF	10
1619	باش جراح	BACHEDJERAH	BACHEDJERAH	16
2649	مفاتحة	M'FATHA	M'FATHA	26
643	الفلاي	LEFLAYE	LEFLAYE	6
2226	مسيد	M'CID	M'CID	22
1538	تيقـزيرت	TIGZIRT	TIGZIRT	15
1508	تيمـيزار	TIMIZART	TIMIZART	15
1222	ثليجان	TELIDJEN	TELIDJEN	12
1426	توسنينة	TOUSNINA	TOUSNINA	14
1504	فريحة	FREHA	FREHA	15
1409	زمالة  الأمير عبد القادر	ZMALET EL EMIR ABDELKADE	ZMALET EL EMIR ABDELKADE	14
4007	تاوزيانت	TAOUZIANAT	TAOUZIANAT	40
1510	ذراع الميزان	DRAA-EL-MIZAN	DRAA-EL-MIZAN	15
3516	قورصو	CORSO	CORSO	35
4815	القطار	EL-GUETTAR	EL-GUETTAR	48
2235	سيدي شعيب	SIDI CHAIB	SIDI CHAIB	22
2915	ماقضة	MAKHDA	MAKHDA	29
652	بو جليل	BOUDJELLIL	BOUDJELLIL	6
225	سيدي عبد الرحمن	SIDI ABDERRAHMANE	SIDI ABDERRAHMANE	2
4822	مازونة	MAZOUNA	MAZOUNA	48
4120	سيدي فرج	SIDI FREDJ	SIDI FREDJ	41
1960	التلة	TELLA	TELLA	19
1542	أيت  أومالو	AIT-OUMALOU	AIT-OUMALOU	15
2229	سفيزف	SFISEF	SFISEF	22
2833	زرزور	ZARZOUR	ZARZOUR	28
2428	الركنية	ROKNIA	ROKNIA	24
1908	بئر العرش	BIR-EL-ARCH	BIR-EL-ARCH	19
2212	العمارنة	AMARNAS	AMARNAS	22
2304	العلمة	EL EULMA	EL EULMA	23
2205	تلاغ	TELAGH	TELAGH	22
2832	خطوطي سد الجير	KHETTOUTI SED-EL-JIR	KHETTOUTI SED-EL-JIR	28
4417	زدين	ZEDDINE	ZEDDINE	44
2611	مزغنة	MEZERANA	MEZERANA	26
202	تنس	TENES	TENES	2
1726	الشارف	CHAREF	CHAREF	17
1935	سرج الغول	SERDJ-EL-GHOUL	SERDJ-EL-GHOUL	19
3821	بوقائد	BOUCAID	BOUCAID	38
2651	بوغزول	BOUGHZOUL	BOUGHZOUL	26
2415	لخزارة	KHEZARAS	KHEZARAS	24
1815	غبالة	GHEBALA	GHEBALA	18
2511	بوجريو مسعود	MESSAOUD BOUDJERIOU	MESSAOUD BOUDJERIOU	25
1044	المقراني	EL-MOKRANI	EL-MOKRANI	10
1810	سيدي معروف	SIDI MAROUF	SIDI MAROUF	18
1657	عين بنيان	AIN BENIAN	AIN BENIAN	16
2113	أولاد عطية	OULED ATTIA	OULED ATTIA	21
4306	التلاغمة	TELEGHMA	TELEGHMA	43
1506	مشطراس	MECHTRAS	MECHTRAS	15
1540	بوغني	BOGHNI	BOGHNI	15
409	بريش	BERRICHE	BERRICHE	4
1652	الشراقة	CHERAGA	CHERAGA	16
3915	دوار الماء	DOUAR EL MAA	DOUAR EL MAA	39
514	بيطام	BITAM	BITAM	5
1905	بوطالب	BOUTALEB	BOUTALEB	19
2709	وادي الخير	OUED EL KHEIR	OUED EL KHEIR	27
1563	إمســوحال	IMSOUHAL	IMSOUHAL	15
1303	عين تالوت	AIN TELLOUT	AIN TELLOUT	13
2107	بكوش لخضر	BEKKOUCHE LAKHDAR	BEKKOUCHE LAKHDAR	21
4828	منداس	MENDES	MENDES	48
3413	مجانة	MEDJANA	MEDJANA	34
544	تكوت	T KOUT	T KOUT	5
4809	مديونة	MEDIOUNA	MEDIOUNA	48
2928	العلايمية	ALAIMIA	ALAIMIA	29
902	الشبلي	CHEBLI	CHEBLI	9
4103	الحنانشة	HANENCHA	HANENCHA	41
3118	البراية	EL BRAYA	EL BRAYA	31
1512	بونوح	BOUNOUH	BOUNOUH	15
1316	زناتة	ZENATA	ZENATA	13
310	قلتة سيدي سعد	GUELTAT SIDI SAAD	GUELTAT SIDI SAAD	3
1333	سوق الثلاثاء	SOUK TLETA	SOUK TLETA	13
1535	أيت عقـواشة	AIT AGGOUACHA	AIT AGGOUACHA	15
2909	زلامطة	ZELAMTA	ZELAMTA	29
526	تيغانمين	TIGHANIMINE	TIGHANIMINE	5
3411	الحمادية	Elhammadia	Elhammadia	34
3021	البرمة	EL BORMA	EL BORMA	30
2417	بوحشانة	BOU HACHANA	BOU HACHANA	24
3818	سيدي عابد	SIDI ABED	SIDI ABED	38
609	مسيسنة	M'CISNA	M'CISNA	6
637	بوحمزة	BOUHAMZA	BOUHAMZA	6
1656	الخرايسية	KHRAISSIA	KHRAISSIA	16
4210	قوراية	GOURAYA	GOURAYA	42
2414	عين بن بيضاء	AIN BEN BEIDA	AIN BEN BEIDA	24
4224	القليعة	KOLEA	KOLEA	42
702	أوماش	OUMACHE	OUMACHE	7
3211	الخيثر	EL KHEITHER	EL KHEITHER	32
1634	تسالة المرجة	TESSALA EL MERDJA	TESSALA EL MERDJA	16
4628	المساعيد	EL MESSAID	EL MESSAID	46
3528	أولاد هداج	OULED HEDADJ	OULED HEDADJ	35
3218	سيدي عمر	SIDI AMAR	SIDI AMAR	32
1320	فلاوسن	FELLAOUCENE	FELLAOUCENE	13
2111	بني زيد	BENI ZID	BENI ZID	21
1202	بئر العاتر	BIR-EL-ATER	BIR-EL-ATER	12
1345	تيانت	TIANET	TIANET	13
1329	السواحلية	SOUAHLIA	SOUAHLIA	13
2005	مولاي العربي	MOULAY LARBI	MOULAY LARBI	20
3927	المغير	EL-M'GHAIER	EL-M'GHAIER	39
1936	حربيل	HARBIL	HARBIL	19
708	سيدي  خالد	SIDI KHALED	SIDI KHALED	7
1326	الحناية	HENNAYA	HENNAYA	13
1328	حمام بوغرارة	HAMMAM BOUGHRARA	HAMMAM BOUGHRARA	13
127	أولاد عيسى	OULED AISSA	OULED AISSA	1
2650	ميهوب	MIHOUB	MIHOUB	26
1549	إيجــار	IDJEUR	IDJEUR	15
1602	سيدي امحمد	SIDI M'HAMED	SIDI M'HAMED	16
814	الواتة	EL OUATA	EL OUATA	8
813	تاغيت	TAGHIT	TAGHIT	8
2238	بوجبهة البرج	BOUDJEBAA EL BORDJ	BOUDJEBAA EL BORDJ	22
2648	سغوان	SEGHOUANE	SEGHOUANE	26
3515	تيمزريت	TIMEZRIT	TIMEZRIT	35
549	أولاد فاضل	OULED FADEL	OULED FADEL	5
2941	غروس	GHARROUS	GHARROUS	29
4507	عسلة	ASLA	ASLA	45
1428	عين كرمس	AIN KERMES	AIN KERMES	14
1706	سد الرحال	SED RAHAL	SED RAHAL	17
1522	تيزي راشد	TIZI-RACHED	TIZI-RACHED	15
4816	حمري	HAMRI	HAMRI	48
3928	جامعة	DJAMAA	DJAMAA	39
4112	المراهنة	MERAHNA	MERAHNA	41
3119	حاسي بن عقبة	HASSI BEN OKBA	HASSI BEN OKBA	31
4209	سيدي عامر	SIDI-AMAR	SIDI-AMAR	42
217	الظهرة	DAHRA	DAHRA	2
531	فم الطوب	FOUM TOUB	FOUM TOUB	5
2008	سيدي عمر	SIDI AMAR	SIDI AMAR	20
216	وادي قوسين	OUED GOUSSINE	OUED GOUSSINE	2
2104	عزابة	AZZABA	AZZABA	21
4312	أولاد اخلوف	OULED KHALOUF	OULED KHALOUF	43
407	البلالة	EL BELALA	EL BELALA	4
2637	جواب	DJOUAB	DJOUAB	26
4427	الحسينية	HOCEINIA	HOCEINIA	44
1812	العنصر	EL ANCER	EL ANCER	18
3304	برج عمر إدريس	BORDJ OMAR DRISS	BORDJ OMAR DRISS	33
4211	الناظور	NADOR	NADOR	42
1521	الأربعــاء ناث إيراثن	LARBAA NATH IRATHEN	LARBAA NATH IRATHEN	15
1036	بئر غبالو	BIR GHBALOU	BIR GHBALOU	10
3104	حاسي بونيف	HASSI BOUNIF	HASSI BOUNIF	31
909	حمام ملوان	HAMMAM ELOUANE	HAMMAM ELOUANE	9
4511	القصدير	KASDIR	KASDIR	45
4228	حجرة النص	HADJRET ENNOUS	HADJRET ENNOUS	42
1801	جيجل	JIJEL	JIJEL	18
636	أوزلاقن	OUZELLAGUEN	OUZELLAGUEN	6
417	سوق نعمان	SOUK NAAMANE	SOUK NAAMANE	4
1604	محمد بلوزداد	MOHAMED BELOUZDAD	MOHAMED BELOUZDAD	16
324	سيدي بوزيد	SIDI BOUZID	SIDI BOUZID	3
2230	عين أدن	AIN- ADDEN	AIN- ADDEN	22
1332	العريشة	EL ARICHA	EL ARICHA	13
2510	عين السمارة	AIN SMARA	AIN SMARA	25
723	ليشانة	LICHANA	LICHANA	7
1914	عين عباسة	AIN ABESSA	AIN ABESSA	19
2638	الشهبونية	CHABOUNIA	CHABOUNIA	26
1946	بني موحلي	BENI-MOUHLI	BENI-MOUHLI	19
704	شتمة	CHETMA	CHETMA	7
2605	العيساوية	AISSAOUIA	AISSAOUIA	26
2601	المدية	MEDEA	MEDEA	26
1221	أم علي	OUM ALI	OUM ALI	12
2661	سدراية	SEDRAYA	SEDRAYA	26
721	طولقة	TOLGA	TOLGA	7
4005	الحامة	EL HAMMA	EL HAMMA	40
4425	بن علال	BEN ALLAL	BEN ALLAL	44
2125	صالح بو الشعور	SALAH BOUCHAOUR	SALAH BOUCHAOUR	21
4227	بني ميلك	BENI MILEUK	BENI MILEUK	42
4315	الرواشد	ROUACHED	ROUACHED	43
2625	بوغار	BOGHAR	BOGHAR	26
4617	أولاد بوجمعة	OULED BOUDJEMAA	OULED BOUDJEMAA	46
2406	وادي فراغة	OUED FERRAGHA	OUED FERRAGHA	24
1603	المدنية	EL MADANIA	EL MADANIA	16
1031	الدشمية	DECHMIA	DECHMIA	10
2929	القعدة	EL GAADA	EL GAADA	29
1714	الادريسية	EL IDRISSIA	EL IDRISSIA	17
1216	قريقر	GUORRIGUER	GUORRIGUER	12
1011	مزدور	MEZDOUR	MEZDOUR	10
4510	مكمن بن عمار	MAKMEN BEN AMAR	MAKMEN BEN AMAR	45
916	بوفاريك	BOUFARIK	BOUFARIK	9
1916	بابور	BABOR	BABOR	19
1709	بويرة الأحداب	BOUIRA LAHDAB	BOUIRA LAHDAB	17
121	أولاد أحمد تيمي	OULED AHMED TIMMI	OULED AHMED TIMMI	1
1038	سور الغزلان	SOUR EL GHOZLANE	SOUR EL GHOZLANE	10
2816	سيدي عيسى	SIDI AISSA	SIDI AISSA	28
1525	عين الزاوية	AIN-ZAOUIA	AIN-ZAOUIA	15
1042	الحجرة الزرقاء	HADJERA ZERGA	HADJERA ZERGA	10
1105	أدلس	IDLES	IDLES	11
728	المزيرعة	MEZIRAA	MEZIRAA	7
1317	بني سنوس	BENI SNOUS	BENI SNOUS	13
303	بن ناصر بن شهرة	BENACER BENCHOHRA	BENACER BENCHOHRA	3
651	وادي غير	OUED GHIR	OUED GHIR	6
2902	بوحنيفية	BOUHANIFIA	BOUHANIFIA	29
1338	بني بوسعيد	BENI BOUSSAID	BENI BOUSSAID	13
1424	جيلالي بن عمار	DJILLALI BEN AMAR	DJILLALI BEN AMAR	14
2615	تمسقيدة	TAMESGUIDA	TAMESGUIDA	26
2944	رأس عين عميروش	RAS EL AIN AMIROUCHE	RAS EL AIN AMIROUCHE	29
1723	عين الشهداء	AIN CHOUHADA	AIN CHOUHADA	17
2801	المسيلة	M'SILA	M'SILA	28
2234	لمطار	LAMTAR	LAMTAR	22
2639	مغراوة	MAGHRAOUA	MAGHRAOUA	26
1536	واضية	OUADHIAS	OUADHIAS	15
1729	دلدول	DELDOUL	DELDOUL	17
632	طيبان	TIBANE	TIBANE	6
3603	بن مهيدي	BEN M HIDI	BEN M HIDI	36
2641	عين اقصير	AIN OUKSIR	AIN OUKSIR	26
2233	زروالة	ZEROUALA	ZEROUALA	22
3807	الملعب	MELAAB	MELAAB	38
2604	عين بوسيف	AIN BOUCIF	AIN BOUCIF	26
2403	بوعاتي محمود	BOUATI MAHMOUD	BOUATI MAHMOUD	24
2808	مسيف	M'CIF	M'CIF	28
525	الرحبات	RAHBAT	RAHBAT	5
2210	مرحوم	MARHOUM	MARHOUM	22
1030	سحاريج	SAHARIDJ	SAHARIDJ	10
2012	سيدي احمد	SIDI AHMED	SIDI AHMED	20
2931	المحمدية	MOHAMMADIA	MOHAMMADIA	29
4319	تسدان حدادة	TASSADANE HADDADA	TASSADANE HADDADA	43
1043	آث  منصور	ATH MANSOUR	ATH MANSOUR	10
4109	الدريعة	DREA	DREA	41
125	برج باجي مختار	BORDJ BADJI MOKHTAR	BORDJ BADJI MOKHTAR	1
2219	الحصيبة	EL HACAIBA	EL HACAIBA	22
1921	جميلة	DJEMILA	DJEMILA	19
2716	سيدي لخضر	SIDI-LAKHDAR	SIDI-LAKHDAR	27
110	أولاد السعيد	OULED SAID	OULED SAID	1
